w,usecs
20,6227032
25,4984267
30,4154714
35,3587760
40,3146142
45,2822256
50,2550766
55,2303931
60,2115760
65,1958458
70,1821863
75,1705560
80,1598997
85,1511727
90,1427361
95,1356797
100,1284811
105,1228262
110,1169654
115,1121278
120,1081317
125,1040008
130,1006671
135,962837
140,925167
145,895679
150,871183
155,847787
160,832181
165,792484
170,768953
175,744501
180,726273
185,708575
190,692679
195,678567
200,706424
205,661261
210,651291
215,623957
220,608975
225,597934
230,609772
235,578803
240,606318
245,581887
250,547820
300,538680
400,594374
500,700618
600,748922
700,787258
800,726860
900,903822
1000,821859
1100,839192
1200,886371
1300,898255
1400,958942
1500,1077546
1600,1020523
1700,1060130
1800,1049812
1900,19229150
